date,time,user_id,free_text,phase,task_number,trial_number,diff_rating,perf_rating,practice_mode,bpm,number_of_bars,complexityLevel,note_hold_time_right,timing_right,n_missing_notes_right,n_extra_notes_right,Summed_right,note_hold_time_left,timing_left,n_missing_notes_left,n_extra_notes_left,Summed_left
2022-04-28,15:07:30,Enter ID,Free text,calibration,1,1,,,None,100,7,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.5, 0.25], 'right')",0.035375,0,1,0,1.035375,0,0,0,0,0
2022-04-28,15:19:33,Enter ID,Free text,calibration,1,2,,,None,100,7,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.5, 0.25], 'right')",0.17659375,0.8108333333,0,1.5,3.487427083,0,0,0,0,0
2022-04-28,15:19:54,Enter ID,Free text,calibration,1,3,,,None,100,7,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.5, 0.25], 'right')",0.2375,0.9485833333,0,1.666666667,4.10275,0,0,0,0,0
2022-04-28,15:21:10,Enter ID,Free text,calibration,1,4,,,None,100,7,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.5, 0.25], 'right')",0.20246875,0.8545833333,0,0.5,2.22371875,0,0,0,0,0
2022-04-28,15:39:47,Enter ID,Free text,calibration,2,1,,,None,150,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25, 0.125], 'right')",0.09111111111,0.2165,0,0,0.3076111111,0,0,0,0,0
2022-04-28,15:42:18,Enter ID,Free text,calibration,2,2,,,None,150,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25, 0.125], 'right')",0.07058333333,0.1198636364,0.04545454545,0,0.2359015152,0,0,0,0,0
2022-04-28,15:43:06,Enter ID,Free text,calibration,2,3,,,None,150,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25, 0.125], 'right')",0.04886111111,0.01986363636,0.04545454545,0,0.1141792929,0,0,0,0,0
2022-04-28,15:45:13,Enter ID,Free text,calibration,3,1,,,None,225,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25, 0.125], 'right')",0.08984216667,0.099512,0,0.07142857143,0.4750684524,0,0,0,0,0
2022-04-28,15:48:15,Enter ID,Free text,calibration,3,2,,,None,225,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25, 0.125], 'right')",0.1169625556,0.1893095,0,0.07142857143,0.8419863413,0,0,0,0,0
2022-04-28,15:48:50,Enter ID,Free text,calibration,3,3,,,None,225,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25, 0.125], 'right')",0.09127741667,0.1021070714,0.1071428571,0,0.586241631,0,0,0,0,0
