trial_no,timestamp,pitch,note_hold_time,timing,n_missing_notes,n_extra_notes,Summed
1,2022_08_17-19_11_53,0.6,0.05077777777777808,0.03940000000000078,0.0,0.0,0.6394000000000007
2,2022_08_17-19_13_03,0.13333333333333333,0.09530555555555627,0.05186666666666605,0.06666666666666667,0.0,0.251866666666666
3,2022_08_17-19_13_57,0.06666666666666667,0.0607500000000005,0.04233333333333344,0.0,0.0,0.1090000000000001
4,2022_08_17-19_15_31,0.9333333333333333,0.2742222222222219,1.2293999999999987,0.0,0.4666666666666667,2.6293999999999986
5,2022_08_17-19_16_31,0.8,0.2558333333333332,0.6648666666666668,0.06666666666666667,0.4,1.9315333333333338
6,2022_08_17-19_17_38,0.9333333333333333,0.23569444444444457,0.5710666666666661,0.06666666666666667,0.4,1.9710666666666663
trial_no,timestamp,pitch,note_hold_time,timing,n_missing_notes,n_extra_notes,Summed
1,2022_08_17-19_11_53,0.6,0.05077777777777808,0.03940000000000078,0.0,0.0,0.6394000000000007
2,2022_08_17-19_13_03,0.13333333333333333,0.09530555555555627,0.05186666666666605,0.06666666666666667,0.0,0.251866666666666
3,2022_08_17-19_13_57,0.06666666666666667,0.0607500000000005,0.04233333333333344,0.0,0.0,0.1090000000000001
4,2022_08_17-19_15_31,0.9333333333333333,0.2742222222222219,1.2293999999999987,0.0,0.4666666666666667,2.6293999999999986
5,2022_08_17-19_16_31,0.8,0.2558333333333332,0.6648666666666668,0.06666666666666667,0.4,1.9315333333333338
6,2022_08_17-19_17_38,0.9333333333333333,0.23569444444444457,0.5710666666666661,0.06666666666666667,0.4,1.9710666666666663
trial_no,timestamp,pitch,note_hold_time,timing,n_missing_notes,n_extra_notes,Summed
1,2022_08_17-19_11_53,0.6,0.05077777777777808,0.03940000000000078,0.0,0.0,0.6394000000000007
2,2022_08_17-19_13_03,0.13333333333333333,0.09530555555555627,0.05186666666666605,0.06666666666666667,0.0,0.251866666666666
3,2022_08_17-19_13_57,0.06666666666666667,0.0607500000000005,0.04233333333333344,0.0,0.0,0.1090000000000001
4,2022_08_17-19_15_31,0.9333333333333333,0.2742222222222219,1.2293999999999987,0.0,0.4666666666666667,2.6293999999999986
5,2022_08_17-19_16_31,0.8,0.2558333333333332,0.6648666666666668,0.06666666666666667,0.4,1.9315333333333338
6,2022_08_17-19_17_38,0.9333333333333333,0.23569444444444457,0.5710666666666661,0.06666666666666667,0.4,1.9710666666666663
