,id,mid_tempo,order,diff,complexity,prac1_diff,prac1_perf,prac1_err,prac2_diff,prac2_perf,prac2_err,prac3_diff,prac3_perf,prac3_err,prac4_diff,prac4_perf,prac4_err,prac5_diff,prac5_perf,prac5_err,prac_coef_diff,prac_intecept_diff,prac_coef_perf,prac_intecept_perf,prac_coef_err,prac_intecept_err,test_diff,test_err,test_perf,ret1_diff,ret1_err,ret1_perf,ret2_diff,ret2_err,ret2_perf,ret3_diff,ret3_err,ret3_perf
0,5,215,0,0,3,6,1,0.843420506,6,1,0.675365522,6,3,0.904918594,5,3,0.813643872,5,5,0.704889078,-0.30000000000000004,6.199999999999999,1.0,0.6000000000000001,-0.01387845059999999,0.8162044155999999,6,0.929877028,2,5,0.205356339,5,5,0.861646928,1,6,1.032541572,2
1,5,215,1,2,3,4,1,0.597710317,4,2,0.705992063,4,3,0.259170635,4,6,0.22481746,4,4,0.362325397,0.0,4.0,1.0000000000000002,1.1999999999999997,-0.0951944443,0.620392063,6,0.14559131,6,5,0.162484421,6,6,0.135849754,7,6,0.198037631,5
2,5,215,2,3,3,6,4,0.310160547,6,5,0.162146056,6,4,0.294907436,6,5,0.175279886,6,5,0.345276539,0.0,6.0,0.20000000000000004,4.199999999999999,0.008336581399999992,0.24088093000000005,6,0.311585698,5,6,0.424859333,2,6,0.217929961,3,6,0.124305977,6
3,5,215,3,4,3,7,1,0.650358018,7,2,0.648987854,7,1,0.60264053,7,2,0.534036515,7,5,0.167393914,0.0,7.0,0.7999999999999999,0.6000000000000003,-0.10808795469999999,0.7368592755999999,7,0.32219247,4,5,0.233940023,4,4,0.155020836,5,6,0.736453778,1
4,6,280,0,4,3,5,4,0.1188742,5,4,0.2151718,4,5,0.2005944,4,5,0.1363544,4,5,0.2556116,-0.3,5.0,0.3,3.9999999999999996,0.01946574,0.14638980000000001,3,0.11382756,5,3,0.0628402,6,2,0.066789,5,2,0.0123946,7
5,6,280,1,0,3,4,3,0.629796227,4,3,0.639847955,4,4,0.393211591,3,5,0.552326,3,5,0.431545455,-0.3,4.2,0.6000000000000001,2.8,-0.048402349900000016,0.6261501454,3,0.407708455,5,4,0.3288495,5,4,0.638926318,5,4,0.213874591,6
6,6,280,2,2,3,2,5,0.1074,2,5,0.08585,2,5,0.1049,2,6,0.0159,2,5,0.1005,0.0,2.0,0.10000000000000002,5.0,-0.008374999999999997,0.09966,5,0.18444655,3,3,0.436297773,4,4,0.612926318,4,3,0.062431,5
7,6,280,3,3,3,4,4,0.453932591,3,4,0.302887136,3,4,0.366959227,3,5,0.065573636,4,5,0.134796227,-3.510833468576701e-17,3.4,0.30000000000000004,3.8000000000000003,-0.08755862280000001,0.43994700900000006,3,0.177147318,5,3,0.18368965,4,4,0.13798275,4,4,0.2415655,5
8,9,116,0,0,3,1,7,0.112863636,1,7,0.0991375,1,7,0.216410727,1,7,0.2311725,1,7,0.054446864,0.0,1.0,0.0,7.0,0.0015201455999999986,0.13976595420000001,1,0.227186727,7,2,0.169346261,6,1,0.205668913,7,1,0.040324217,7
9,9,116,1,2,3,1,7,0.242676667,1,7,0.210532222,1,7,0.407971111,1,7,0.212638889,2,6,0.650668889,0.2,0.7999999999999999,-0.2,7.2,0.08180911109999998,0.1812793334,1,0.160898889,7,1,0.100595722,7,1,0.067570944,7,1,0.284034778,7
