date,time,user_id,free_text,phase,task_number,trial_number,diff_rating,perf_rating,practice_mode,bpm,number_of_bars,complexityLevel,note_hold_time_right,timing_right,n_missing_notes_right,n_extra_notes_right,Summed_right,note_hold_time_left,timing_left,n_missing_notes_left,n_extra_notes_left,Summed_left,,
2022-05-18,10:20:43,Enter ID,Free text,,,,,,None,80,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.ONE_NOTE: 2>, [0.25], 'right')",0.2021111111,0.02452631579,0,0,0.2266374269,0,0,0,0,0,,
2022-05-18,10:43:12,Enter ID,Free text,,,,,,None,80,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.ONE_NOTE: 2>, [0.25], 'right')",0.3391388889,0.02479166667,0.04166666667,0,0.4055972222,0,0,0,0,0,,
2022-05-18,10:49:01,3,Free text,calibration,1,1,,,None,150,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.25], 'right')",0.09908333333,0.1015454545,0.2727272727,0,0.7006287879,0,0,0,0,0,,
2022-05-18,10:50:18,3,Free text,calibration,1,2,,,None,150,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.25], 'right')",0.1074166667,0.06418181818,0.1818181818,0,0.6261439394,0,0,0,0,0,,
2022-05-18,10:52:08,3,Free text,calibration,1,3,,,None,150,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.25], 'right')",0.1074444444,0.05118181818,0.2272727273,0,0.6131717172,0,0,0,0,0,,
2022-05-18,10:56:42,3,Free text,calibration,2,1,,,None,75,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.25], 'right')",0.3064722222,0.4097058824,0,0,0.775001634,0,0,0,0,0,,
2022-05-18,10:57:43,3,Free text,calibration,2,2,,,None,75,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.25], 'right')",0.29025,0.24,0,0,0.53025,0,0,0,0,0,,
2022-05-18,10:58:52,3,Free text,calibration,2,3,,,None,75,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.25], 'right')",0.2866944444,0.2025882353,0,0,0.4892826797,0,0,0,0,0,,
2022-05-18,11:03:30,3,Free text,calibration,3,1,,,None,37,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.25], 'right')",0.8040183889,0.9863561579,0,0.05263157895,1.843006126,0,0,0,0,0,,
2022-05-18,11:06:17,3,Free text,calibration,3,2,,,None,37,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.25], 'right')",0.6966227778,0.5748094211,0.1052631579,0,1.639853251,0,0,0,0,0,,
2022-05-18,11:07:38,3,Free text,calibration,3,3,,,None,37,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.25], 'right')",0.7067683889,0.1792016316,0,0,0.8859700205,0,0,0,0,0,,
2022-05-18,11:12:33,3,Free text,calibration,4,1,,,None,56,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.25], 'right')",0.3841107778,0.1506467368,0.05263157895,0,0.6926522515,0,0,0,0,0,,
2022-05-18,11:13:50,3,Free text,calibration,4,2,,,None,56,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.25], 'right')",0.3546941111,0.2098494737,0.05263157895,0,0.8277014795,0,0,0,0,0,,
2022-05-18,11:14:47,3,Free text,calibration,4,3,,,None,56,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.25], 'right')",0.2917536667,0.09507515789,0.1578947368,0,0.5973551404,0,0,0,0,0,,
2022-05-18,11:24:41,Enter ID,Free text,calibration,4,?,,,None,56,7,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.25], 'right')",0.43704425,0.1795261053,0,0,0.6165703553,0,0,0,0,0,,
2022-05-18,11:29:00,3,Free text,calibration,5,1,,,None,70,7,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.25], 'right')",0.208187125,0.12142825,0.3125,0,0.704615375,0,0,0,0,0,,
2022-05-18,11:31:13,3,Free text,calibration,5,2,,,None,70,7,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.25], 'right')",0.2783343125,0.129429375,0,0,0.4077636875,0,0,0,0,0,,
2022-05-18,11:42:54,3,Free text,practice,1,1,,,None,70,7,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.25], 'right')",0.3213431875,0.069381,0,0,0.3907241875,0,0,0,0,0,,
2022-05-18,11:44:01,3,Free text,practice,1,2,,,None,70,7,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.25], 'right')",0.3207181875,0.07351611111,0,0,0.4497898542,0,0,0,0,0,,
