date,time,user_id,free_text,phase,task_number,trial_number,diff_rating,perf_rating,saved_filename,practice_mode,bpm,number_of_bars,complexityLevel,loaded_filename,pitch_right,note_hold_time_right,timing_right,n_missing_notes_right,n_extra_notes_right,Summed_right,note_hold_time_left,timing_left,n_missing_notes_left,n_extra_notes_left,Summed_left,
08/08/2022,14:56:16,Enter ID,Free text,Calibration,5,1,2,5,2022_08_08-14_54_58.xml,None,80,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.25], 'right')",,0.045454545,0.134972222,0.050454545,0.136363636,0,0.367244949,0,0,0,0,0,0
08/08/2022,14:58:56,Enter ID,Free text,Calibration,7,1,2,5,2022_08_08-14_58_43.xml,None,166,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.25], 'right')",,0,0.077530972,0.026064375,0,0,0.103595347,0,0,0,0,0,0
08/08/2022,14:59:56,Enter ID,Free text,Calibration,7,2,1,6,2022_08_08-14_58_43.xml,None,166,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.25], 'right')",,0.083333333,0.082472361,0.079721875,0,0,0.245527569,0,0,0,0,0,0
08/08/2022,15:00:23,Enter ID,Free text,Calibration,7,3,1,6,2022_08_08-14_58_43.xml,None,166,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.25], 'right')",,0,0.070172917,0.021749792,0,0,0.091922708,0,0,0,0,0,0
08/08/2022,15:01:34,Enter ID,Free text,Calibration,8,1,2,6,2022_08_08-15_01_27.xml,None,232,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.25], 'right')",,0,0.052554444,0.018233333,0,0,0.070787778,0,0,0,0,0,0
08/08/2022,15:01:54,Enter ID,Free text,Calibration,8,2,2,6,2022_08_08-15_01_27.xml,None,232,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.25], 'right')",,0,0.04586,0.015974286,0,0,0.061834286,0,0,0,0,0,0
08/08/2022,15:02:28,Enter ID,Free text,Calibration,8,3,2,1,2022_08_08-15_01_27.xml,None,232,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.25], 'right')",,0.238095238,0.029172222,0.02203619,0.476190476,0,0.765494127,0,0,0,0,0,0
08/08/2022,15:03:37,Enter ID,Free text,Calibration,10,1,2,5,2022_08_08-15_03_32.xml,None,265,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.25], 'right')",,0,0.0480975,0.015881087,0,0,0.063978587,0,0,0,0,0,0
08/08/2022,15:04:01,Enter ID,Free text,Calibration,10,2,2,5,2022_08_08-15_03_32.xml,None,265,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.25], 'right')",,0,0.039940278,0.013780217,0,0,0.053720495,0,0,0,0,0,0
08/08/2022,15:04:25,Enter ID,Free text,Calibration,10,3,2,5,2022_08_08-15_03_32.xml,None,265,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.25], 'right')",,0,0.037268889,0.011099348,0,0,0.048368237,0,0,0,0,0,0
08/08/2022,15:21:10,Enter ID,Free text,Practice,18,1,1,7,2022_08_08-15_20_58.xml,None,224,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.25], 'right')",,0.166666667,0.01890475,0.008523722,0.222222222,0,0.416317361,0,0,0,0,0,0
08/08/2022,15:21:40,Enter ID,Free text,Practice,18,2,1,7,2022_08_08-15_20_58.xml,None,224,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.25], 'right')",,0,0.033543639,0.021206278,0,0,0.054749917,0,0,0,0,0,0
08/08/2022,15:22:01,Enter ID,Free text,Practice,18,3,1,6,2022_08_08-15_20_58.xml,None,224,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.25], 'right')",,0,0.032658694,0.0218095,0,0,0.054468194,0,0,0,0,0,0
08/08/2022,15:22:20,Enter ID,Free text,Practice,18,4,1,6,2022_08_08-15_20_58.xml,None,224,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.25], 'right')",,0,0.029884917,0.024904722,0,0,0.054789639,0,0,0,0,0,0
08/08/2022,15:22:39,Enter ID,Free text,Practice,18,5,1,7,2022_08_08-15_20_58.xml,None,224,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.25], 'right')",,0,0.026932528,0.017587278,0,0,0.044519806,0,0,0,0,0,0
08/08/2022,15:28:32,Enter ID,Free text,Test,19,1,1,6,2022_08_08-15_20_58.xml,None,224,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.25], 'right')",,0,0.03640475,0.027317611,0,0,0.063722361,0,0,0,0,0,0
