trial_no,timestamp,pitch,note_hold_time,timing,n_missing_notes,n_extra_notes,Summed
1,2022_08_17-14_51_20,0.0,0.1285554444444446,0.030062434782608848,0.0,0.0,0.030062434782608848
2,2022_08_17-14_51_54,0.0,0.14400366666666656,0.020484347826086633,0.0,0.0,0.020484347826086633
3,2022_08_17-14_52_27,0.043478260869565216,0.15830922222222235,0.023596347826087168,0.0,0.0,0.06707460869565238
4,2022_08_17-14_53_02,0.0,0.1710870000000003,0.07414904347826103,0.0,0.0,0.07414904347826103
5,2022_08_17-14_53_38,0.0,0.14219811111111127,0.024577913043478374,0.0,0.0,0.024577913043478374
6,2022_08_17-14_54_52,0.0,0.22624955555555548,0.2030055652173912,0.043478260869565216,0.0,0.2464838260869564
trial_no,timestamp,pitch,note_hold_time,timing,n_missing_notes,n_extra_notes,Summed
1,2022_08_17-14_51_20,0.0,0.1285554444444446,0.030062434782608848,0.0,0.0,0.030062434782608848
2,2022_08_17-14_51_54,0.0,0.14400366666666656,0.020484347826086633,0.0,0.0,0.020484347826086633
3,2022_08_17-14_52_27,0.043478260869565216,0.15830922222222235,0.023596347826087168,0.0,0.0,0.06707460869565238
4,2022_08_17-14_53_02,0.0,0.1710870000000003,0.07414904347826103,0.0,0.0,0.07414904347826103
5,2022_08_17-14_53_38,0.0,0.14219811111111127,0.024577913043478374,0.0,0.0,0.024577913043478374
6,2022_08_17-14_54_52,0.0,0.22624955555555548,0.2030055652173912,0.043478260869565216,0.0,0.2464838260869564
